date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:46	2064/2064	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2025%20Nov%202024%2001:16:47%20UTC	https://www.indigenousoutsiders.com/%22//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fmomento360.com%2Fe%2Fu%2F05a57de1f6c94ea58011c4ac2e842df8%3Futm_campaign%3Dembed%26utm_source%3Dother%26heading%3D0%26pitch%3D0%26field-of-view%3D75%26size%3Dmedium&display_name=momento360&url=https%3A%2F%2Fmomento360.com%2Fe%2Fu%2F05a57de1f6c94ea58011c4ac2e842df8%3Futm_campaign%3Dembed%26utm_source%3Dother%26heading%3D0%26pitch%3D0%26field-of-view%3D75%26size%3Dmedium&image=https%3A%2F%2Fproduction-cdn.momento360.com%2Fe%2Fu%2F05a57de1f6c94ea58011c4ac2e842df8%2Fsphere%2Fpreview&key=61d05c9d54e8455ea7a9677c366be814&type=text%2Fhtml&schema=momento360\%22	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/_/cdn.embedly.com/widgets/media.16ee499.delayed	(from https://www.indigenousoutsiders.com/zeda-tkhilvana)
20:16:46	2811227/2811227	---M--	200	added ('OK')	image/jpeg	etag:CIuh65SSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528218908163-EYULOJX69O7VWGJ7IMJI/Zeda_Dome.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528218908163-EYULOJX69O7VWGJ7IMJI/Zeda_Dome.jpg	(from https://www.indigenousoutsiders.com/zeda-tkhilvana)
20:16:47	38134/38134	---MC-	404	error ('Not%20Found')	text/html	etag:W/%22b7063726869282f0ad741a00ef50594b%22	https://www.indigenousoutsiders.com/chao-1	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/chao-1.16f.delayed	(from https://www.indigenousoutsiders.com/-agara)
20:16:47	869626/869626	---M--	200	added ('OK')	image/jpeg	etag:CPrG7qfuxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528219842361-PYDFYXOWQL8NE8A4H2QR/AGARA_Floorplans+1-200+copy.JPG	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528219842361-PYDFYXOWQL8NE8A4H2QR/AGARA_Floorplans+1-200+copy.jpg	(from https://www.indigenousoutsiders.com/-agara)
20:16:47	2064/2064	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2025%20Nov%202024%2001:16:48%20UTC	https://www.indigenousoutsiders.com/%22//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fmomento360.com%2Fe%2Fu%2Fa260ceba999e42c6a68f4a5062e27847%3Futm_campaign%3Dembed%26utm_source%3Dother%26heading%3D-173.75%26pitch%3D-9.89%26field-of-view%3D100%26size%3Dmedium&display_name=momento360&url=https%3A%2F%2Fmomento360.com%2Fe%2Fu%2Fa260ceba999e42c6a68f4a5062e27847%3Futm_campaign%3Dembed%26utm_source%3Dother%26heading%3D-173.75%26pitch%3D-9.89%26field-of-view%3D100%26size%3Dmedium&image=https%3A%2F%2Fproduction-cdn.momento360.com%2Fe%2Fu%2Fa260ceba999e42c6a68f4a5062e27847%2Fsphere%2Fpreview&key=c6502efcb3c84824bc6c1f27d683be13&type=text%2Fhtml&schema=momento360\%22	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/_/cdn.embedly.com/widgets/media.17236da.delayed	(from https://www.indigenousoutsiders.com/-agara)
20:16:48	1870495/1870495	---M--	200	added ('OK')	image/jpeg	etag:CNeUw5SSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528015527761-YVFIZUN4JZY51WJUV7RA/image-asset.jpeg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528015527761-YVFIZUN4JZY51WJUV7RA/image-asset.jpg	(from https://www.indigenousoutsiders.com/-agara)
20:16:48	1508559/1508559	---M--	200	added ('OK')	image/jpeg	etag:COKTmavuxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528221784609-P4G8VTEN0CLTM63VAPQ4/AKHO_Drone.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528221784609-P4G8VTEN0CLTM63VAPQ4/AKHO_Drone.jpg	(from https://www.indigenousoutsiders.com/-akho)
20:16:49	784792/784792	---M--	200	added ('OK')	image/jpeg	etag:CNndsqfuxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528221862925-E05FR87SFJW9UJT4VJMX/AKHO_+Door+Model+copy.JPG	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528221862925-E05FR87SFJW9UJT4VJMX/AKHO_+Door+Model+copy.jpg	(from https://www.indigenousoutsiders.com/-akho)
20:16:49	971036/971036	---M--	200	added ('OK')	image/jpeg	etag:CLbn4diSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528222282262-T38B1UH7EE7MPU05EHNT/AKHO_+MINBAR+MODEL+copy.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528222282262-T38B1UH7EE7MPU05EHNT/AKHO_+MINBAR+MODEL+copy.jpg	(from https://www.indigenousoutsiders.com/-akho)
20:16:49	1160762/1160762	---M--	200	added ('OK')	image/jpeg	etag:CLvw89qSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528222258154-TB8CQHNQEWGZW5TN6Y8L/AKHO_+MINBAR+MODEL+2.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528222258154-TB8CQHNQEWGZW5TN6Y8L/AKHO_+MINBAR+MODEL+2.jpg	(from https://www.indigenousoutsiders.com/-akho)
